term	valence	score	score-socal	POS
optimistic	positive	0.4	2	ajdective
ornate	positive	0.4	2	ajdective
oven-proof	positive	0.4	2	ajdective
oven-safe	positive	0.4	2	ajdective
pastoral	positive	0.4	2	ajdective
playable	positive	0.4	2	ajdective
playful	positive	0.4	2	ajdective
plentiful	positive	0.4	2	ajdective
polite	positive	0.4	2	ajdective
precise	positive	0.4	2	ajdective
progressive	positive	0.4	2	ajdective
promising	positive	0.4	2	ajdective
purposeful	positive	0.4	2	ajdective
quick	positive	0.4	2	ajdective
reflective	positive	0.4	2	ajdective
reliable	positive	0.4	2	ajdective
resourceful	positive	0.4	2	ajdective
robust	positive	0.4	2	ajdective
rustic-yet-contemporary	positive	0.4	2	ajdective
sand-covered	positive	0.4	2	ajdective
sandy	positive	0.4	2	ajdective
sentimental	positive	0.4	2	ajdective
silent	positive	0.4	2	ajdective
sincere	positive	0.4	2	ajdective
skilled	positive	0.4	2	ajdective
skillful	positive	0.4	2	ajdective
smart	positive	0.4	2	ajdective
smoother	positive	0.4	2	ajdective
snappy	positive	0.4	2	ajdective
souped-up	positive	0.4	2	ajdective
spicy	positive	0.4	2	ajdective
sporty	positive	0.4	2	ajdective
sporting	positive	0.4	2	ajdective
spunky	positive	0.4	2	ajdective
stainless	positive	0.4	2	ajdective
stainless-steel	positive	0.4	2	ajdective
strategic	positive	0.4	2	ajdective
street-smart	positive	0.4	2	ajdective
street-wise	positive	0.4	2	ajdective
strong	positive	0.4	2	ajdective
sturdy	positive	0.4	2	ajdective
suspenseful	positive	0.4	2	ajdective
swell	positive	0.4	2	ajdective
swivel	positive	0.4	2	ajdective
talented	positive	0.4	2	ajdective
tasty	positive	0.4	2	ajdective
thorough	positive	0.4	2	ajdective
thoughtful	positive	0.4	2	ajdective
toll-free	positive	0.4	2	ajdective
top	positive	0.4	2	ajdective
touching	positive	0.4	2	ajdective
tranquil	positive	0.4	2	ajdective
truthful	positive	0.4	2	ajdective
unamusing	positive	0.4	2	ajdective
uncoventional	positive	0.4	2	ajdective
undamaged	positive	0.4	2	ajdective
unlimited	positive	0.4	2	ajdective
unprecedented	positive	0.4	2	ajdective
unrestricted	positive	0.4	2	ajdective
viable	positive	0.4	2	ajdective
well-intentioned	positive	0.4	2	ajdective
youthful	positive	0.4	2	ajdective
elfin	positive	0.4	2	ajdective
expandable	positive	0.4	2	ajdective
proficient	positive	0.4	2	ajdective
programmable	positive	0.4	2	ajdective
believeable	positive	0.4	2	ajdective
big-hearted	positive	0.4	2	ajdective
big-time	positive	0.4	2	ajdective
catchy	positive	0.4	2	ajdective
climactic	positive	0.4	2	ajdective
conducive	positive	0.4	2	ajdective
cross-platform	positive	0.4	2	ajdective
everlasting	positive	0.4	2	ajdective
forceful	positive	0.4	2	ajdective
high-energy	positive	0.4	2	ajdective
human	positive	0.4	2	ajdective
indomitable	positive	0.4	2	ajdective
judicious	positive	0.4	2	ajdective
kicky	positive	0.4	2	ajdective
literate	positive	0.4	2	ajdective
magnetic	positive	0.4	2	ajdective
modular	positive	0.4	2	ajdective
moral	positive	0.4	2	ajdective
outgoing	positive	0.4	2	ajdective
plucky	positive	0.4	2	ajdective
properous	positive	0.4	2	ajdective
skilful	positive	0.4	2	ajdective
spicy	positive	0.4	2	ajdective
spirited	positive	0.4	2	ajdective
sympathetic	positive	0.4	2	ajdective
cathartic	positive	0.4	2	ajdective
sumptuous-looking	positive	0.4	2	ajdective
even-tempered	positive	0.4	2	ajdective
