term	valence	subjectivity
belie	negative	strongsubj
belief	neutral	strongsubj
believable	positive	strongsubj
believe	neutral	strongsubj
belittle	negative	strongsubj
belittled	negative	strongsubj
belittling	negative	strongsubj
bellicose	negative	strongsubj
belligerence	negative	strongsubj
belligerent	negative	strongsubj
belligerently	negative	strongsubj
beloved	positive	strongsubj
bemoan	negative	strongsubj
bemoaning	negative	strongsubj
bemused	negative	strongsubj
beneficent	positive	strongsubj
beneficial	positive	strongsubj
beneficially	positive	strongsubj
beneficiary	positive	strongsubj
benevolence	positive	strongsubj
benevolent	positive	strongsubj
berate	negative	strongsubj
bereave	negative	strongsubj
bereavement	negative	strongsubj
bereft	negative	strongsubj
berserk	negative	strongsubj
beseech	negative	strongsubj
besides	neutral	strongsubj
besmirch	negative	strongsubj
best	positive	strongsubj
best-known	positive	strongsubj
best-performing	positive	strongsubj
bestial	negative	strongsubj
betray	negative	strongsubj
betrayal	negative	strongsubj
betrayals	negative	strongsubj
betrayer	negative	strongsubj
better	positive	strongsubj
better-known	positive	strongsubj
better-than-expected	positive	strongsubj
bewail	negative	strongsubj
bewilder	negative	strongsubj
bewildered	negative	strongsubj
bewildering	negative	strongsubj
bewilderingly	negative	strongsubj
bewilderment	negative	strongsubj
bewitch	negative	strongsubj
bias	negative	strongsubj
biased	negative	strongsubj
biases	negative	strongsubj
bicker	negative	strongsubj
bickering	negative	strongsubj
bitch	negative	strongsubj
bitchy	negative	strongsubj
biting	negative	strongsubj
bitingly	negative	strongsubj
bitter	negative	strongsubj
bitterly	negative	strongsubj
bitterness	negative	strongsubj
bizarre	negative	strongsubj
blab	negative	strongsubj
blabber	negative	strongsubj
blah	negative	strongsubj
blame	negative	strongsubj
blameless	positive	strongsubj
blameworthy	negative	strongsubj
bland	negative	strongsubj
blandish	negative	strongsubj
blaspheme	negative	strongsubj
blasphemous	negative	strongsubj
blasphemy	negative	strongsubj
blasted	negative	strongsubj
blatant	negative	strongsubj
blatantly	negative	strongsubj
blather	negative	strongsubj
bleak	negative	strongsubj
bleakly	negative	strongsubj
bleakness	negative	strongsubj
bless	positive	strongsubj
blessing	positive	strongsubj
blinding	negative	strongsubj
blindingly	negative	strongsubj
blindside	negative	strongsubj
bliss	positive	strongsubj
blissful	positive	strongsubj
blissfully	positive	strongsubj
blister	negative	strongsubj
blistering	negative	strongsubj
blithe	positive	strongsubj
bloated	negative	strongsubj
blockhead	negative	strongsubj
bloodshed	negative	strongsubj
bloodthirsty	negative	strongsubj
blunder	negative	strongsubj
blundering	negative	strongsubj
blunders	negative	strongsubj
blunt	negative	strongsubj
blurt	negative	strongsubj
boast	positive	strongsubj
boast	negative	strongsubj
boastful	negative	strongsubj
boggle	negative	strongsubj
bogus	negative	strongsubj
boil	negative	strongsubj
boiling	negative	strongsubj
boisterous	negative	strongsubj
bold	positive	strongsubj
boldly	positive	strongsubj
boldness	positive	strongsubj
bolster	positive	strongsubj
bombardment	negative	strongsubj
bombastic	negative	strongsubj
bondage	negative	strongsubj
bonkers	negative	strongsubj
bonny	positive	strongsubj
bore	negative	strongsubj
boredom	negative	strongsubj
boring	negative	strongsubj
botch	negative	strongsubj
bother	negative	strongsubj
bothersome	negative	strongsubj
boundless	positive	strongsubj
bountiful	positive	strongsubj
bowdlerize	negative	strongsubj
brag	both	strongsubj
braggart	negative	strongsubj
bragger	negative	strongsubj
brains	positive	strongsubj
brainwash	negative	strongsubj
brainy	positive	strongsubj
brash	negative	strongsubj
brashly	negative	strongsubj
brashness	negative	strongsubj
brat	negative	strongsubj
bravado	negative	strongsubj
brave	positive	strongsubj
bravery	positive	strongsubj
brazen	negative	strongsubj
brazenly	negative	strongsubj
brazenness	negative	strongsubj
break-point	negative	strongsubj
breathlessness	positive	strongsubj
breathtaking	positive	strongsubj
breathtakingly	positive	strongsubj
brilliant	positive	strongsubj
brilliantly	positive	strongsubj
brimstone	negative	strongsubj
bristle	negative	strongsubj
broken-hearted	negative	strongsubj
brood	negative	strongsubj
brook	positive	strongsubj
browbeat	negative	strongsubj
brusque	negative	strongsubj
brutal	negative	strongsubj
brutalising	negative	strongsubj
brutalities	negative	strongsubj
brutality	negative	strongsubj
brutalize	negative	strongsubj
brutalizing	negative	strongsubj
brutally	negative	strongsubj
brute	negative	strongsubj
brutish	negative	strongsubj
bullies	negative	strongsubj
bully	negative	strongsubj
bullyingly	negative	strongsubj
bungle	negative	strongsubj
bungler	negative	strongsubj
burden	negative	strongsubj
burdensome	negative	strongsubj
burdensomely	negative	strongsubj
burn	negative	strongsubj
busybody	negative	strongsubj
butchery	negative	strongsubj
byzantine	negative	strongsubj
cackle	negative	strongsubj
cajole	negative	strongsubj
calamities	negative	strongsubj
calamitous	negative	strongsubj
calamitously	negative	strongsubj
calamity	negative	strongsubj
callous	negative	strongsubj
calming	positive	strongsubj
calumniate	negative	strongsubj
calumniation	negative	strongsubj
calumnies	negative	strongsubj
calumnious	negative	strongsubj
calumniously	negative	strongsubj
calumny	negative	strongsubj
candid	positive	strongsubj
candor	positive	strongsubj
cannibal	negative	strongsubj
cannibalize	negative	strongsubj
capricious	negative	strongsubj
capriciously	negative	strongsubj
capriciousness	negative	strongsubj
captivate	positive	strongsubj
captivating	positive	strongsubj
captivation	positive	strongsubj
carefree	positive	strongsubj
careless	negative	strongsubj
carelessness	negative	strongsubj
caricature	negative	strongsubj
carnage	negative	strongsubj
carp	negative	strongsubj
cartoonish	negative	strongsubj
castigate	negative	strongsubj
cataclysm	negative	strongsubj
cataclysmal	negative	strongsubj
cataclysmic	negative	strongsubj
cataclysmically	negative	strongsubj
catalyst	positive	strongsubj
catastrophe	negative	strongsubj
catastrophes	negative	strongsubj
catastrophic	negative	strongsubj
catastrophically	negative	strongsubj
catchy	positive	strongsubj
caustic	negative	strongsubj
caustically	negative	strongsubj
cautionary	negative	strongsubj
celebrate	positive	strongsubj
celebrated	positive	strongsubj
celebration	positive	strongsubj
celebratory	positive	strongsubj
censure	negative	strongsubj
certainly	neutral	strongsubj
chafe	negative	strongsubj
chaff	negative	strongsubj
chagrin	negative	strongsubj
chaos	negative	strongsubj
chaotic	negative	strongsubj
charisma	negative	strongsubj
charismatic	positive	strongsubj
charm	positive	strongsubj
charming	positive	strongsubj
charmingly	positive	strongsubj
chaste	positive	strongsubj
chasten	negative	strongsubj
chastise	negative	strongsubj
chastisement	negative	strongsubj
chatter	negative	strongsubj
chatterbox	negative	strongsubj
cheapen	negative	strongsubj
cheap	negative	strongsubj
cheat	negative	strongsubj
cheater	negative	strongsubj
cheer	positive	strongsubj
cheery	positive	strongsubj
cheerful	positive	strongsubj
cheerless	negative	strongsubj
cherish	positive	strongsubj
cherished	positive	strongsubj
cherub	positive	strongsubj
chic	positive	strongsubj
chide	negative	strongsubj
childish	negative	strongsubj
chit	negative	strongsubj
chivalry	positive	strongsubj
chivalrous	positive	strongsubj
civility	positive	strongsubj
clear-cut	positive	strongsubj
clearer	positive	strongsubj
clearly	positive	strongsubj
clever	positive	strongsubj
cliche	negative	strongsubj
cliched	negative	strongsubj
closeness	positive	strongsubj
cloud	negative	strongsubj
clout	positive	strongsubj
clumsy	negative	strongsubj
coax	positive	strongsubj
cocky	negative	strongsubj
coerce	negative	strongsubj
coercion	negative	strongsubj
coercive	negative	strongsubj
cogent	positive	strongsubj
cogitate	neutral	strongsubj
cognizant	neutral	strongsubj
coherence	positive	strongsubj
coldly	negative	strongsubj
collude	negative	strongsubj
collusion	negative	strongsubj
comely	positive	strongsubj
comforting	positive	strongsubj
commend	positive	strongsubj
commendable	positive	strongsubj
commendably	positive	strongsubj
commiserate	negative	strongsubj
commotion	negative	strongsubj
compassion	positive	strongsubj
compassionate	positive	strongsubj
compel	negative	strongsubj
compelling	positive	strongsubj
compensate	positive	strongsubj
complacent	negative	strongsubj
complain	negative	strongsubj
complaining	negative	strongsubj
complaint	negative	strongsubj
complaints	negative	strongsubj
complement	positive	strongsubj
compliant	positive	strongsubj
complicit	negative	strongsubj
compliment	positive	strongsubj
complimentary	positive	strongsubj
comprehend	neutral	strongsubj
compulsion	negative	strongsubj
compulsive	negative	strongsubj
comrades	positive	strongsubj
concede	negative	strongsubj
conceit	negative	strongsubj
conceited	negative	strongsubj
conceivable	positive	strongsubj
concern	negative	strongsubj
concerned	negative	strongsubj
concerns	negative	strongsubj
conciliate	positive	strongsubj
conciliatory	positive	strongsubj
concur	positive	strongsubj
condescend	negative	strongsubj
condescending	negative	strongsubj
condescendingly	negative	strongsubj
condescension	negative	strongsubj
condemn	negative	strongsubj
condemnable	negative	strongsubj
condemnation	negative	strongsubj
condolence	negative	strongsubj
condolences	negative	strongsubj
condone	positive	strongsubj
confess	negative	strongsubj
confession	negative	strongsubj
confessions	negative	strongsubj
confide	neutral	strongsubj
confidence	positive	strongsubj
confident	positive	strongsubj
confrontation	negative	strongsubj
confuse	negative	strongsubj
confused	negative	strongsubj
confusing	negative	strongsubj
confusion	negative	strongsubj
confute	positive	strongsubj
congenial	positive	strongsubj
congratulate	positive	strongsubj
congratulations	positive	strongsubj
congratulatory	positive	strongsubj
conjecture	neutral	strongsubj
conscientious	positive	strongsubj
consensus	positive	strongsubj
consent	positive	strongsubj
consequently	neutral	strongsubj
consider	neutral	strongsubj
considerable	neutral	strongsubj
considerably	neutral	strongsubj
considerate	positive	strongsubj
conspicuous	negative	strongsubj
conspicuously	negative	strongsubj
conspirator	negative	strongsubj
conspiratorial	negative	strongsubj
conspire	negative	strongsubj
constancy	positive	strongsubj
consternation	negative	strongsubj
consummate	positive	strongsubj
contemplate	neutral	strongsubj
contempt	negative	strongsubj
contemptible	negative	strongsubj
contemptuous	negative	strongsubj
contemptuously	negative	strongsubj
contend	negative	strongsubj
content	positive	strongsubj
contention	negative	strongsubj
contentment	positive	strongsubj
contentious	negative	strongsubj
contort	negative	strongsubj
contortions	negative	strongsubj
contradict	negative	strongsubj
contradiction	negative	strongsubj
contradictory	negative	strongsubj
contrariness	negative	strongsubj
contrary	negative	strongsubj
contravene	negative	strongsubj
contrive	negative	strongsubj
contrived	negative	strongsubj
convenient	positive	strongsubj
conveniently	positive	strongsubj
convincing	positive	strongsubj
convincingly	positive	strongsubj
convoluted	negative	strongsubj
cornerstone	positive	strongsubj
correctly	positive	strongsubj
corrupt	negative	strongsubj
corruption	negative	strongsubj
counterproductive	negative	strongsubj
coupists	negative	strongsubj
courage	positive	strongsubj
courageous	positive	strongsubj
courageously	positive	strongsubj
courageousness	positive	strongsubj
court	positive	strongsubj
courteous	positive	strongsubj
courtesy	positive	strongsubj
courtly	positive	strongsubj
covet	both	strongsubj
coveting	both	strongsubj
covetingly	both	strongsubj
covetous	negative	strongsubj
covetously	both	strongsubj
coward	negative	strongsubj
cowardly	negative	strongsubj
cozy	positive	strongsubj
crafty	negative	strongsubj
cranky	negative	strongsubj
crass	negative	strongsubj
crave	positive	strongsubj
craven	negative	strongsubj
cravenly	negative	strongsubj
craving	positive	strongsubj
craze	negative	strongsubj
crazily	negative	strongsubj
craziness	negative	strongsubj
crazy	negative	strongsubj
creative	positive	strongsubj
credence	positive	strongsubj
credible	positive	strongsubj
credulous	negative	strongsubj
cringe	negative	strongsubj
cripple	negative	strongsubj
crippling	negative	strongsubj
critic	negative	strongsubj
critical	negative	strongsubj
criticism	negative	strongsubj
criticisms	negative	strongsubj
criticize	negative	strongsubj
critics	negative	strongsubj
crook	negative	strongsubj
crooked	negative	strongsubj
cross	negative	strongsubj
cruel	negative	strongsubj
cruelties	negative	strongsubj
cruelty	negative	strongsubj
crusade	positive	strongsubj
crusader	positive	strongsubj
cry	negative	strongsubj
culpable	negative	strongsubj
cuplrit	negative	strongsubj
cumbersome	negative	strongsubj
cure-all	positive	strongsubj
curious	positive	strongsubj
curiously	positive	strongsubj
curse	negative	strongsubj
cursed	negative	strongsubj
curses	negative	strongsubj
cuss	negative	strongsubj
cute	positive	strongsubj
cutthroat	negative	strongsubj
cynical	negative	strongsubj
cynicism	negative	strongsubj
damn	negative	strongsubj
damnable	negative	strongsubj
damnably	negative	strongsubj
damnation	negative	strongsubj
damned	negative	strongsubj
damning	negative	strongsubj
dangerousness	negative	strongsubj
dangle	negative	strongsubj
dare	positive	strongsubj
daring	positive	strongsubj
daringly	positive	strongsubj
darling	positive	strongsubj
darn	negative	strongsubj
dashing	positive	strongsubj
dastard	negative	strongsubj
dastardly	negative	strongsubj
daunt	negative	strongsubj
daunting	negative	strongsubj
dauntingly	negative	strongsubj
dauntless	positive	strongsubj
dawdle	negative	strongsubj
daydream	positive	strongsubj
daydreamer	positive	strongsubj
daze	negative	strongsubj
dazed	negative	strongsubj
dazzle	positive	strongsubj
dazzled	positive	strongsubj
dazzling	positive	strongsubj
deadbeat	negative	strongsubj
deadlock	negative	strongsubj
deadweight	negative	strongsubj
dear	positive	strongsubj
dearth	negative	strongsubj
debacle	negative	strongsubj
debase	negative	strongsubj
debasement	negative	strongsubj
debaser	negative	strongsubj
debatable	negative	strongsubj
debate	negative	strongsubj
debauch	negative	strongsubj
debaucher	negative	strongsubj
debauchery	negative	strongsubj
decadence	negative	strongsubj
decadent	negative	strongsubj
decay	negative	strongsubj
decayed	negative	strongsubj
deceit	negative	strongsubj
deceitful	negative	strongsubj
deceitfully	negative	strongsubj
deceitfulness	negative	strongsubj
deceiving	negative	strongsubj
deceive	negative	strongsubj
deceiver	negative	strongsubj
deceivers	negative	strongsubj
deception	negative	strongsubj
deceptive	negative	strongsubj
deceptively	negative	strongsubj
declaim	negative	strongsubj
decrepit	negative	strongsubj
decrepitude	negative	strongsubj
decry	negative	strongsubj
dedicated	positive	strongsubj
deduce	neutral	strongsubj
deeply	neutral	strongsubj
deepening	negative	strongsubj
defamation	negative	strongsubj
defamations	negative	strongsubj
defamatory	negative	strongsubj
defame	negative	strongsubj
defective	negative	strongsubj
defender	positive	strongsubj
deference	positive	strongsubj
defiance	negative	strongsubj
defiant	negative	strongsubj
defiantly	negative	strongsubj
defile	negative	strongsubj
defiler	negative	strongsubj
definitively	positive	strongsubj
defrauding	negative	strongsubj
deft	positive	strongsubj
defunct	negative	strongsubj
defy	negative	strongsubj
degenerate	negative	strongsubj
degenerately	negative	strongsubj
degeneration	negative	strongsubj
degradation	negative	strongsubj
degrade	negative	strongsubj
degrading	negative	strongsubj
degradingly	negative	strongsubj
dehumanization	negative	strongsubj
dehumanize	negative	strongsubj
deign	negative	strongsubj
deject	negative	strongsubj
dejected	negative	strongsubj
dejectedly	negative	strongsubj
dejection	negative	strongsubj
delectable	positive	strongsubj
delicious	positive	strongsubj
delight	positive	strongsubj
delighted	positive	strongsubj
delightful	positive	strongsubj
delightfully	positive	strongsubj
delightfulness	positive	strongsubj
delirious	negative	strongsubj
delirium	negative	strongsubj
delude	negative	strongsubj
deluded	negative	strongsubj
delusion	negative	strongsubj
delusional	negative	strongsubj
delusions	negative	strongsubj
demand	both	strongsubj
demean	negative	strongsubj
demeaning	negative	strongsubj
demise	negative	strongsubj
demon	negative	strongsubj
demonic	negative	strongsubj
demonize	negative	strongsubj
demoralize	negative	strongsubj
demoralizing	negative	strongsubj
demoralizingly	negative	strongsubj
demystify	positive	strongsubj
denial	negative	strongsubj
denigrate	negative	strongsubj
deny	negative	strongsubj
denounce	negative	strongsubj
denunciate	negative	strongsubj
denunciation	negative	strongsubj
denunciations	negative	strongsubj
deplorable	negative	strongsubj
deplorably	negative	strongsubj
deplore	negative	strongsubj
deploring	negative	strongsubj
deploringly	negative	strongsubj
deprave	negative	strongsubj
depraved	negative	strongsubj
depravedly	negative	strongsubj
deprecate	negative	strongsubj
depressed	negative	strongsubj
depressing	negative	strongsubj
depressingly	negative	strongsubj
deprive	negative	strongsubj
deprived	negative	strongsubj
deride	negative	strongsubj
derision	negative	strongsubj
derisive	negative	strongsubj
derisively	negative	strongsubj
derisiveness	negative	strongsubj
derogatory	negative	strongsubj
desecrate	negative	strongsubj
deserve	positive	strongsubj
deserved	positive	strongsubj
deservedly	positive	strongsubj
deserving	positive	strongsubj
desert	negative	strongsubj
desertion	negative	strongsubj
desiccate	negative	strongsubj
desiccated	negative	strongsubj
desirable	positive	strongsubj
desire	positive	strongsubj
desirous	positive	strongsubj
desolate	negative	strongsubj
desolately	negative	strongsubj
desolation	negative	strongsubj
despair	negative	strongsubj
despairing	negative	strongsubj
despairingly	negative	strongsubj
desperate	negative	strongsubj
desperately	negative	strongsubj
desperation	negative	strongsubj
despicable	negative	strongsubj
despicably	negative	strongsubj
despise	negative	strongsubj
despised	negative	strongsubj
despite	negative	strongsubj
despoil	negative	strongsubj
despoiler	negative	strongsubj
despondence	negative	strongsubj
despondency	negative	strongsubj
despondent	negative	strongsubj
despondently	negative	strongsubj
despot	negative	strongsubj
despotic	negative	strongsubj
despotism	negative	strongsubj
destabilisation	negative	strongsubj
destinies	positive	strongsubj
destiny	positive	strongsubj
destitute	negative	strongsubj
destitution	negative	strongsubj
destroyer	negative	strongsubj
destructive	negative	strongsubj
desultory	negative	strongsubj
determination	positive	strongsubj
detest	negative	strongsubj
detestable	negative	strongsubj
detestably	negative	strongsubj
detriment	negative	strongsubj
detrimental	negative	strongsubj
devastate	negative	strongsubj
