term	valence	score	POS
torpid	positive	0.25	a
torpid	negative	-0.125	a
soggy	positive	0.25	a
soggy	negative	-0.125	a
sluggish	positive	0.25	a
sluggish	negative	-0.125	a
inert	positive	0.25	a
inert	negative	-0.125	a
sedentary	positive	0.125	a
activated	negative	-0.125	a
inactive	negative	-0.375	a
off	negative	-0.625	a
retired	negative	-0.625	a
brisk	positive	0.25	a
brisk	negative	-0.125	a
bustling	positive	0.5	a
busy	positive	0.375	a
busy	negative	-0.25	a
going	negative	-0.5	a
springy	positive	0.125	a
springy	negative	-0.375	a
inactive	positive	0.25	a
dead	positive	0.25	a
sluggish	negative	-0.5	a
slow	negative	-0.5	a
dull	negative	-0.5	a
unused	positive	0.125	a
unused	negative	-0.625	a
idle	positive	0.125	a
idle	negative	-0.625	a
active	positive	0.375	a
active	negative	-0.5	a
progressive	negative	-0.25	a
inactive	negative	-0.375	a
dead-end	positive	0.125	a
dead-end	negative	-0.125	a
latent	positive	0.125	a
latent	negative	-0.25	a
quiescent	negative	-0.625	a
active	positive	0.125	a
passive	positive	0.375	a
passive	negative	-0.25	a
inactive	positive	0.375	a
inactive	negative	-0.25	a
hands-off	negative	-0.625	a
unresisting	negative	-0.75	a
supine	negative	-0.75	a
resistless	negative	-0.75	a
active	negative	-0.5	a
eruptive	positive	0.125	a
eruptive	negative	-0.5	a
quiescent	negative	-0.25	a
dead	positive	0.25	a
dead	negative	-0.625	a
active	negative	-0.5	a
live	positive	0.5	a
alive	positive	0.5	a
active	positive	0.25	a
activated	positive	0.125	a
counteractive	negative	-0.5	a
inactive	negative	-0.625	a
quiescent	positive	0.125	a
quiescent	negative	-0.625	a
active	positive	0.375	a
quiet	negative	-0.5	a
existent	positive	0.125	a
existent	negative	-0.5	a
actual	positive	0.125	a
actual	negative	-0.5	a
effective	positive	0.5	a
potential	negative	-0.25	a
possible	negative	-0.25	a
latent	negative	-0.625	a
acute	negative	-0.5	a
chronic	negative	-0.375	a
degenerative	negative	-0.375	a
virulent	positive	0.5	a
highly infective	positive	0.125	a
highly infective	negative	-0.375	a
deadly	positive	0.125	a
deadly	negative	-0.25	a
avirulent	negative	-0.875	a
adaptive	positive	0.25	a
adaptative	positive	0.25	a
reconciling	positive	0.625	a
reconciling	negative	-0.125	a
accommodative	positive	0.625	a
accommodative	negative	-0.125	a
adjustive	positive	0.625	a
adjustive	negative	-0.125	a
maladaptive	positive	0.5	a
maladaptive	negative	-0.375	a
maladjustive	positive	0.375	a
maladjustive	negative	-0.25	a
unaddicted	negative	-0.125	a
clean	positive	0.5	a
habit-forming	negative	-0.625	a
addictive	negative	-0.625	a
nonaddictive	positive	0.25	a
nonaddictive	negative	-0.5	a
additive	negative	-0.375	a
addible	positive	0.5	a
addable	positive	0.5	a
completing	positive	0.125	a
completing	negative	-0.125	a
complementary	positive	0.125	a
complementary	negative	-0.125	a
complemental	positive	0.125	a
complemental	negative	-0.125	a
subtractive	positive	0.25	a
ablative	positive	0.625	a
reductive	negative	-0.625	a
addressed	positive	0.125	a
unaddressed	negative	-0.125	a
up to	positive	0.375	a
up to	negative	-0.25	a
equal to	positive	0.375	a
equal to	negative	-0.25	a
capable	positive	0.375	a
capable	negative	-0.25	a
adequate to	positive	0.375	a
adequate to	negative	-0.25	a
competent	positive	0.25	a
unequal	negative	-0.5	a
inadequate	negative	-0.5	a
wanting	negative	-0.625	a
lacking	negative	-0.625	a
deficient	negative	-0.625	a
unequal to	negative	-0.25	a
incompetent	negative	-0.25	a
incapable	negative	-0.25	a
understaffed	negative	-0.75	a
undermanned	negative	-0.75	a
short-staffed	negative	-0.75	a
short-handed	negative	-0.75	a
adhesive	positive	0.25	a
adhesive	negative	-0.5	a
bondable	positive	0.25	a
cohesive	negative	-0.5	a
gummy	negative	-0.25	a
gummed	negative	-0.25	a
self-sealing	negative	-0.5	a
stick-on	negative	-0.5	a
nonadhesive	negative	-0.75	a
nonviscid	negative	-0.625	a
nonglutinous	negative	-0.625	a
nonresiny	negative	-0.5	a
nonresinous	negative	-0.5	a
non-resiny	negative	-0.5	a
non-resinous	negative	-0.5	a
ungummed	negative	-0.75	a
substantive	positive	0.125	a
essential	positive	0.125	a
adoptable	positive	0.75	a
decorated	positive	0.375	a
adorned	positive	0.375	a
spangly	negative	-0.375	a
spangled	negative	-0.375	a
sequined	negative	-0.375	a
jewelled	negative	-0.375	a
jeweled	negative	-0.375	a
gemmed	negative	-0.375	a
beady	negative	-0.375	a
bedaubed	negative	-0.5	a
spectacled	negative	-0.25	a
monocled	negative	-0.25	a
bespectacled	negative	-0.25	a
buttony	negative	-0.125	a
plumed	negative	-0.25	a
crested	negative	-0.25	a
plumy	negative	-0.125	a
feathery	negative	-0.125	a
feathered	negative	-0.125	a
ruffled	negative	-0.125	a
frilly	negative	-0.125	a
frilled	negative	-0.125	a
fringed	negative	-0.125	a
gilt-edged	positive	0.125	a
inflamed	negative	-0.125	a
inlaid	negative	-0.125	a
mounted	negative	-0.25	a
wainscoted	negative	-0.125	a
paneled	negative	-0.125	a
studded	negative	-0.375	a
tapestried	negative	-0.125	a
tasselled	negative	-0.125	a
tasseled	negative	-0.125	a
tricked-out	negative	-0.125	a
tufted	negative	-0.125	a
undecorated	positive	0.25	a
undecorated	negative	-0.625	a
unadorned	positive	0.25	a
unadorned	negative	-0.625	a
unornamented	positive	0.125	a
unornamented	negative	-0.25	a
unembellished	positive	0.125	a
unembellished	negative	-0.25	a
spare	positive	0.125	a
spare	negative	-0.25	a
plain	positive	0.125	a
plain	negative	-0.25	a
bare	positive	0.125	a
bare	negative	-0.25	a
untufted	positive	0.375	a
untufted	negative	-0.375	a
adroit	positive	0.25	a
neat	positive	0.625	a
clean	positive	0.625	a
ingenious	positive	0.625	a
cunning	positive	0.625	a
clever	positive	0.625	a
dextrous	positive	0.25	a
dextrous	negative	-0.25	a
dexterous	positive	0.25	a
dexterous	negative	-0.25	a
deft	positive	0.25	a
deft	negative	-0.25	a
handy	positive	0.25	a
quick-witted	positive	0.5	a
maladroit	positive	0.25	a
maladroit	negative	-0.375	a
left-handed	positive	0.125	a
left-handed	negative	-0.75	a
heavy-handed	positive	0.125	a
heavy-handed	negative	-0.75	a
handless	positive	0.125	a
handless	negative	-0.75	a
ham-handed	positive	0.125	a
ham-handed	negative	-0.75	a
ham-fisted	positive	0.125	a
ham-fisted	negative	-0.75	a
butterfingered	positive	0.125	a
butterfingered	negative	-0.75	a
bungling	positive	0.125	a
bungling	negative	-0.75	a
bumbling	positive	0.125	a
bumbling	negative	-0.75	a
tactless	positive	0.5	a
tactless	negative	-0.125	a
inept	positive	0.5	a
inept	negative	-0.125	a
uncoordinated	positive	0.125	a
uncoordinated	negative	-0.375	a
unmechanical	negative	-0.25	a
nonmechanical	negative	-0.25	a
advantageous	positive	0.625	a
good	positive	0.625	a
beneficial	positive	0.625	a
positive	positive	0.75	a
plus	positive	0.75	a
preferential	positive	0.125	a
preferential	negative	-0.25	a
discriminatory	positive	0.125	a
discriminatory	negative	-0.25	a
disadvantageous	positive	0.75	a
disadvantageous	negative	-0.25	a
negative	negative	-0.875	a
minus	negative	-0.875	a
adventurous	positive	0.625	a
adventurous	negative	-0.25	a
adventuresome	positive	0.625	a
adventuresome	negative	-0.25	a
venturous	positive	0.375	a
venturous	negative	-0.125	a
venturesome	positive	0.375	a
venturesome	negative	-0.125	a
daring	positive	0.375	a
daring	negative	-0.125	a
audacious	positive	0.375	a
audacious	negative	-0.125	a
sporting	positive	0.25	a
sporting	negative	-0.25	a
swashbuckling	positive	0.375	a
swashbuckling	negative	-0.25	a
swaggering	positive	0.375	a
swaggering	negative	-0.25	a
unadventurous	positive	0.25	a
unadventurous	negative	-0.375	a
advisable	positive	0.625	a
better	positive	0.75	a
best	positive	0.75	a
well	positive	0.625	a
unadvisable	positive	0.125	a
unadvisable	negative	-0.625	a
inadvisable	positive	0.125	a
inadvisable	negative	-0.625	a
well-advised	positive	0.5	a
advised	positive	0.5	a
unadvised	negative	-0.125	a
ill-advised	negative	-0.125	a
anaerobiotic	negative	-0.375	a
anaerobic	negative	-0.375	a
aerobic	positive	0.5	a
anaerobic	negative	-0.25	a
esthetical	positive	0.625	a
esthetic	positive	0.625	a
aesthetical	positive	0.625	a
aesthetic	positive	0.625	a
artistic	positive	0.625	a
painterly	positive	0.25	a
sensuous	positive	0.375	a
sensuous	negative	-0.125	a
unaesthetic	positive	0.5	a
unaesthetic	negative	-0.5	a
inaesthetic	positive	0.5	a
inaesthetic	negative	-0.5	a
unartistic	positive	0.125	a
unartistic	negative	-0.5	a
inartistic	positive	0.125	a
inartistic	negative	-0.5	a
affected	positive	0.375	a
impressed	positive	0.5	a
impressed	negative	-0.5	a
struck	negative	-0.375	a
stricken	negative	-0.375	a
smitten	negative	-0.375	a
stage-struck	positive	0.125	a
subject	negative	-0.625	a
taken	positive	0.125	a
taken	negative	-0.5	a
wonder-struck	negative	-0.5	a
unaffected	positive	0.125	a
unaffected	negative	-0.125	a
immune	negative	-0.625	a
superior	positive	0.125	a
unimpressed	negative	-0.625	a
untouched	positive	0.25	a
untouched	negative	-0.625	a
unswayed	positive	0.25	a
unswayed	negative	-0.625	a
uninfluenced	positive	0.25	a
uninfluenced	negative	-0.625	a
stilted	negative	-0.25	a
hokey	negative	-0.25	a
contrived	negative	-0.25	a
artificial	negative	-0.25	a
strained	positive	0.125	a
strained	negative	-0.625	a
forced	positive	0.125	a
forced	negative	-0.625	a
constrained	positive	0.125	a
constrained	negative	-0.625	a
elocutionary	negative	-0.25	a
mannered	negative	-0.375	a
plummy	positive	0.25	a
plummy	negative	-0.125	a
unaffected	positive	0.75	a
unaffected	negative	-0.125	a
natural	positive	0.25	a
lifelike	positive	0.25	a
unmannered	negative	-0.375	a
unselfconscious	positive	0.125	a
unselfconscious	negative	-0.125	a
affirmatory	positive	0.5	a
affirmative	positive	0.5	a
assentient	positive	0.25	a
negative	negative	-0.75	a
dissident	negative	-0.625	a
dissenting	negative	-0.625	a
dissentient	negative	-0.625	a
acceptive	positive	0.375	a
acceptive	negative	-0.25	a
accepting	positive	0.375	a
accepting	negative	-0.125	a
rejective	positive	0.125	a
rejective	negative	-0.5	a
dismissive	positive	0.125	a
dismissive	negative	-0.875	a
afraid	negative	-0.5	a
acrophobic	negative	-0.75	a
afeared	negative	-0.125	a
afeard	negative	-0.125	a
shocked	positive	0.25	a
dismayed	positive	0.25	a
appalled	positive	0.25	a
aghast	positive	0.25	a
agoraphobic	negative	-0.75	a
alarmed	negative	-0.625	a
algophobic	negative	-0.875	a
apprehensive	positive	0.125	a
apprehensive	negative	-0.625	a
hangdog	positive	0.125	a
hangdog	negative	-0.25	a
claustrophobic	negative	-0.75	a
fearful	positive	0.125	a
fearful	negative	-0.375	a
scared	negative	-0.125	a
frightened	negative	-0.125	a
horror-struck	negative	-0.25	a
horror-stricken	negative	-0.25	a
horrified	negative	-0.25	a
hunted	positive	0.625	a
hunted	negative	-0.125	a
hydrophobic	negative	-0.75	a
aquaphobic	negative	-0.75	a
mysophobic	negative	-0.75	a
numb	negative	-0.75	a
shitless	negative	-0.375	a
terror-struck	negative	-0.5	a
terror-stricken	negative	-0.5	a
triskaidekaphobic	negative	-0.625	a
unnerved	negative	-0.625	a
white-lipped	positive	0.125	a
xenophobic	negative	-0.75	a
unafraid	positive	0.25	a
unafraid	negative	-0.125	a
fearless	positive	0.25	a
fearless	negative	-0.125	a
unapprehensive	negative	-0.625	a
unshrinking	positive	0.25	a
unshrinking	negative	-0.375	a
unintimidated	positive	0.25	a
unintimidated	negative	-0.375	a
unflinching	positive	0.25	a
unflinching	negative	-0.375	a
unblinking	positive	0.25	a
unblinking	negative	-0.375	a
unfrightened	positive	0.625	a
unfrightened	negative	-0.25	a
aggressive	positive	0.5	a
combative	positive	0.5	a
bellicose	positive	0.5	a
battleful	positive	0.5	a
militant	positive	0.5	a
militant	negative	-0.125	a
competitive	positive	0.5	a
competitive	negative	-0.125	a
high-pressure	positive	0.125	a
high-pressure	negative	-0.125	a
hard-hitting	positive	0.125	a
hard-hitting	negative	-0.125	a
in-your-face	positive	0.25	a
obstreperous	positive	0.125	a
obstreperous	negative	-0.25	a
rough	positive	0.25	a
pugnacious	positive	0.25	a
scrappy	positive	0.375	a
scrappy	negative	-0.125	a
truculent	positive	0.25	a
truculent	negative	-0.5	a
unaggressive	negative	-0.625	a
nonaggressive	negative	-0.625	a
low-pressure	positive	0.125	a
low-pressure	negative	-0.375	a
agitated	negative	-0.5	a
worked up	positive	0.25	a
worked up	negative	-0.5	a
excited	positive	0.25	a
excited	negative	-0.5	a
emotional	positive	0.25	a
emotional	negative	-0.5	a
aroused	positive	0.25	a
aroused	negative	-0.5	a
overwrought	negative	-0.125	a
distraught	negative	-0.125	a
shaken	negative	-0.5	a
jolted	negative	-0.5	a
hectic	positive	0.375	a
hectic	negative	-0.375	a
feverish	positive	0.375	a
feverish	negative	-0.375	a
phrenetic	positive	0.25	a
phrenetic	negative	-0.5	a
frenzied	positive	0.25	a
frenzied	negative	-0.5	a
frenetic	positive	0.25	a
frenetic	negative	-0.5	a
frantic	positive	0.25	a
frantic	negative	-0.5	a
hysterical	positive	0.125	a
hysterical	negative	-0.625	a
psychedelic	negative	-0.5	a
unagitated	positive	0.125	a
unagitated	negative	-0.625	a
agitated	negative	-0.125	a
churning	positive	0.25	a
churned-up	positive	0.25	a
seething	positive	0.25	a
seething	negative	-0.25	a
unagitated	negative	-0.75	a
nonturbulent	negative	-0.25	a
unstirred	positive	0.5	a
unstirred	negative	-0.25	a
agreeable	positive	0.5	a
disagreeable	positive	0.125	a
disagreeable	negative	-0.875	a
vexing	negative	-0.5	a
vexatious	negative	-0.5	a
teasing	negative	-0.5	a
plaguy	negative	-0.5	a
plaguey	negative	-0.5	a
pestiferous	negative	-0.5	a
pestering	negative	-0.5	a
pesky	negative	-0.5	a
nettlesome	negative	-0.5	a
irritating	negative	-0.5	a
galling	negative	-0.5	a
bothersome	negative	-0.5	a
annoying	negative	-0.5	a
harsh	positive	0.333	a
harsh	negative	-0.667	a
abrasive	positive	0.333	a
abrasive	negative	-0.667	a
trying	negative	-0.625	a
stressful	negative	-0.625	a
nerve-wracking	negative	-0.625	a
nerve-racking	negative	-0.625	a
unsweet	negative	-0.625	a
watchful	positive	0.5	a
alert	positive	0.5	a
wakeful	positive	0.375	a
vigilant	positive	0.375	a
open-eyed	positive	0.375	a
argus-eyed	positive	0.375	a
fly	positive	0.125	a
fly	negative	-0.625	a
wide-awake	positive	0.5	a
heads-up	positive	0.5	a
sleepless	positive	0.125	a
sleepless	negative	-0.375	a
lidless	positive	0.125	a
lidless	negative	-0.375	a
unwatchful	positive	0.25	a
unwatchful	negative	-0.5	a
unvigilant	positive	0.25	a
unvigilant	negative	-0.5	a
unalert	positive	0.25	a
unalert	negative	-0.5	a
transferrable	positive	0.125	a
transferable	positive	0.125	a
negotiable	positive	0.125	a
conveyable	positive	0.125	a
assignable	positive	0.125	a
unalienable	positive	0.125	a
unalienable	negative	-0.375	a
inalienable	positive	0.125	a
inalienable	negative	-0.375	a
inviolable	positive	0.125	a
inviolable	negative	-0.625	a
infrangible	positive	0.125	a
infrangible	negative	-0.625	a
absolute	positive	0.125	a
absolute	negative	-0.625	a
non-negotiable	positive	0.5	a
untransferable	positive	0.125	a
untransferable	negative	-0.5	a
unassignable	positive	0.125	a
unassignable	negative	-0.5	a
nontransferable	positive	0.125	a
nontransferable	negative	-0.5	a
live	positive	0.125	a
alive	positive	0.125	a
liveborn	positive	0.375	a
liveborn	negative	-0.125	a
viable	positive	0.5	a
dead	negative	-0.75	a
gone	negative	-0.5	a
departed	negative	-0.5	a
deceased	negative	-0.5	a
at rest	negative	-0.5	a
at peace	negative	-0.5	a
asleep	negative	-0.5	a
exsanguinous	negative	-0.5	a
exsanguine	negative	-0.5	a
bloodless	negative	-0.5	a
pulseless	negative	-0.75	a
inanimate	negative	-0.75	a
breathless	negative	-0.75	a
cold	negative	-0.375	a
deathly	negative	-0.375	a
deathlike	negative	-0.375	a
doomed	negative	-0.375	a
fallen	negative	-0.25	a
late	positive	0.125	a
lifeless	negative	-0.5	a
exanimate	negative	-0.5	a
nonviable	negative	-0.625	a
stillborn	positive	0.25	a
stillborn	negative	-0.5	a
stone-dead	negative	-0.375	a
eccrine	positive	0.25	a
subartesian	negative	-0.125	a
live	positive	0.5	a
living	negative	-0.125	a
dead	negative	-0.625	a
out	negative	-0.125	a
extinct	negative	-0.125	a
lifeless	negative	-0.75	a
analphabetic	negative	-0.125	a
precocial	positive	0.25	a
selfless	positive	0.875	a
altruistic	positive	0.875	a
self-centred	positive	0.375	a
self-centered	positive	0.375	a
egoistical	positive	0.375	a
egoistic	positive	0.375	a
egocentric	positive	0.375	a
self-involved	positive	0.5	a
self-absorbed	positive	0.5	a
ambiguous	positive	0.125	a
double-barrelled	positive	0.5	a
double-barreled	positive	0.5	a
oracular	positive	0.25	a
oracular	negative	-0.125	a
enigmatic	positive	0.25	a
enigmatic	negative	-0.125	a
left-handed	positive	0.375	a
left-handed	negative	-0.375	a
multivalent	positive	0.375	a
multi-valued	positive	0.375	a
uncertain	positive	0.375	a
uncertain	negative	-0.375	a
unambiguous	positive	0.375	a
monosemous	positive	0.125	a
ambitious	positive	0.5	a
ambitious	negative	-0.125	a
pushy	positive	0.625	a
pushful	positive	0.625	a
wishful	positive	0.5	a
aspiring	positive	0.5	a
aspirant	positive	0.5	a
driven	positive	0.375	a
determined	positive	0.375	a
compulsive	positive	0.375	a
would-be	positive	0.25	a
manque	positive	0.25	a
overambitious	positive	0.375	a
overambitious	negative	-0.25	a
unambitious	positive	0.5	a
ambitionless	positive	0.5	a
shiftless	positive	0.25	a
shiftless	negative	-0.5	a
ametropic	negative	-0.25	a
generous	positive	0.25	a
stingy	negative	-0.625	a
scrimpy	negative	-0.625	a
meagre	negative	-0.625	a
meagerly	negative	-0.625	a
meager	negative	-0.625	a
spare	negative	-0.5	a
scanty	negative	-0.5	a
bare	negative	-0.5	a
exiguous	positive	0.125	a
exiguous	negative	-0.625	a
hand-to-mouth	negative	-0.5	a
hardscrabble	negative	-0.375	a
anabolic	positive	0.5	a
katabolic	negative	-0.75	a
catabolic	negative	-0.75	a
stigmatic	negative	-0.25	a
anastigmatic	negative	-0.25	a
analytical	positive	0.125	a
analytic	positive	0.125	a
uninflected	positive	0.125	a
analytic	positive	0.125	a
inflectional	positive	0.125	a
inflectional	negative	-0.125	a
derivational	negative	-0.25	a
angry	positive	0.375	a
angry	negative	-0.375	a
provoked	negative	-0.5	a
aggravated	negative	-0.5	a
maddened	positive	0.25	a
maddened	negative	-0.25	a
infuriated	positive	0.25	a
infuriated	negative	-0.25	a
furious	positive	0.25	a
furious	negative	-0.25	a
enraged	positive	0.25	a
enraged	negative	-0.25	a
angered	positive	0.25	a
angered	negative	-0.25	a
black	positive	0.125	a
black	negative	-0.5	a
irascible	positive	0.125	a
irascible	negative	-0.625	a
choleric	positive	0.125	a
choleric	negative	-0.625	a
hot under the collar	positive	0.125	a
hot under the collar	negative	-0.125	a
sore	positive	0.125	a
mad	positive	0.125	a
huffy	positive	0.125	a
umbrageous	negative	-0.75	a
outraged	negative	-0.75	a
indignant	negative	-0.75	a
incensed	negative	-0.75	a
ireful	positive	0.125	a
ireful	negative	-0.5	a
irate	positive	0.125	a
irate	negative	-0.5	a
livid	positive	0.125	a
smouldering	positive	0.5	a
smouldering	negative	-0.25	a
smoldering	positive	0.5	a
smoldering	negative	-0.25	a
wrothful	negative	-0.25	a
wroth	negative	-0.25	a
wrathful	negative	-0.25	a
unangry	negative	-0.125	a
resentful	negative	-0.875	a
bitter	positive	0.5	a
bitter	negative	-0.25	a
acrimonious	positive	0.5	a
acrimonious	negative	-0.25	a
rancorous	positive	0.375	a
rancorous	negative	-0.25	a
unresentful	negative	-0.5	a
unbitter	negative	-0.75	a
sentient	positive	0.25	a
sentient	negative	-0.5	a
animate	positive	0.25	a
animate	negative	-0.5	a
sensate	positive	0.125	a
sensate	negative	-0.25	a
insentient	positive	0.125	a
insentient	negative	-0.5	a
insensate	positive	0.125	a
insensate	negative	-0.5	a
unfeeling	positive	0.25	a
unfeeling	negative	-0.5	a
nonliving	negative	-0.75	a
non-living	negative	-0.75	a
inanimate	negative	-0.75	a
animated	positive	0.375	a
alive	positive	0.375	a
spirited	positive	0.375	a
enlivened	positive	0.375	a
vital	positive	0.375	a
vital	negative	-0.25	a
lively	positive	0.375	a
lively	negative	-0.25	a
