term	valence	score
accusations	positive	-0.75
accusative	negative	-1
accuse	positive	-0.5
accused	positive	-0.5
accuser	negative	-1
accuses	positive	-0.5
accusing	negative	-1
accusingly	negative	-1
ace	positive	0.8
acerbate	negative	-1
acerbic	negative	-1
acerbically	negative	-1
ache	positive	-0.75
ached	negative	-1
aches	positive	-0.5
achey	positive	-0.8
achievable	positive	0.8
achieve	positive	1
achievement	positive	0.5
achievements	positive	1
achievible	positive	1
aching	positive	-0.75
achy	negative	-1
acid	positive	-0.4
acing	positive	0.25
acknowledgment	positive	0.4
acquire	positive	0.8
acquired	positive	0.8
acquiring	positive	0.8
acquit	positive	-0.25
acquits	positive	-0.25
acquitted	positive	-0.25
acquitting	positive	-0.25
acrid	positive	-0.5
acridly	negative	-1
acridness	negative	-1
acrimonious	positive	-0.5
acrimoniously	negative	-1
acrimony	negative	-1
action	positive	0.25
actionable	positive	0.25
active	positive	0.25
actual	positive	0.4
actuality	positive	-0.25
acuity	positive	0.6
acumen	positive	0.5
adamant	negative	-1
adamantly	negative	-1
adapt	positive	0.8
adaptable	positive	0.5
adaptive	positive	0.8
addict	negative	-1
addicted	positive	-0.5
addicting	positive	-0.8
addiction	negative	-1
addicts	negative	-1
additional	positive	0.25
addled	positive	-0.6
addresses	positive	-0.25
adept	positive	1
adequacy	positive	0.8
adequate	positive	0.5
adhered	positive	0.6
adjudicate	positive	0.4
adjunct	positive	-0.25
adjustable	positive	0.4
adjustments	positive	0.4
admirable	positive	0.5
admirably	positive	1
admiration	positive	0.75
admire	positive	1
admired	positive	0.5
admirer	positive	0.5
admires	positive	1
admiring	positive	0.75
admiringly	positive	1
admissible	positive	0.6
admit	positive	0.6
admits	positive	0.6
admitted	positive	0.6
admonish	positive	-0.5
admonished	positive	-0.6
admonisher	negative	-1
admonishingly	positive	-0.6
admonishment	positive	-0.6
admonition	positive	-0.5
adolescent	positive	0.25
adopt	positive	0.5
adopts	positive	0.4
adorable	positive	0.75
adorably	positive	1
adoration	positive	1
adore	positive	0.75
adored	positive	0.5
adorer	positive	1
adores	positive	0.5
adoring	positive	1
adoringly	positive	1
adorn	positive	0.4
adorned	positive	0.4
adrenaline	positive	-0.25
adrift	positive	-0.8
adroit	positive	0.6
adroitly	positive	0.6
adulate	positive	0.25
adulation	positive	0.25
adulatory	positive	0.25
adulterate	negative	-1
adulterated	positive	-0.5
adulteration	negative	-1
adulterier	negative	-1
adultery	negative	-1
advance	positive	0.8
advanced	positive	0.75
advancement	positive	1
advances	positive	0.8
advantage	positive	0.75
advantageous	positive	0.5
advantageously	positive	1
advantages	positive	0.75
advent	positive	0.8
adventure	positive	0.5
adventures	positive	0.25
adventuresome	positive	1
adventurous	positive	0.75
adversarial	positive	-0.6
adversaries	positive	-0.6
adversary	positive	-0.75
adverse	positive	-0.5
adversity	positive	-0.5
advisable	positive	1
advise	positive	0.8
adviser	positive	0.6
advocacy	positive	0.6
advocate	positive	0.6
advocated	positive	0.6
advocates	positive	0.6
aesthetic	positive	0.25
aesthetics	positive	0.25
affability	positive	0.8
affable	positive	0.5
affably	positive	0.8
affectation	positive	-0.4
affectations	positive	-0.4
affection	positive	1
affectionate	positive	0.5
affiliated	positive	0.25
affinity	positive	0.8
affirm	positive	0.5
affirmation	positive	0.5
affirmative	positive	0.5
affirmatively	positive	0.8
afflict	positive	-0.5
afflicted	positive	-0.5
affliction	positive	-0.75
afflictive	negative	-1
affluence	positive	0.5
affluent	positive	0.5
afford	positive	0.5
affordable	positive	0.8
affordably	positive	0.8
affront	positive	-0.75
affronted	negative	-1
aficionado	positive	0.8
afordable	positive	1
afraid	positive	-0.75
aftermath	positive	-0.5
aftertaste	positive	-0.4
ageless	positive	0.6
aggravate	positive	-0.5
aggravated	positive	-0.75
aggravates	negative	-1
aggravating	positive	-0.75
aggravation	positive	-0.5
aggression	positive	-0.75
aggressions	negative	-1
aggressive	negative	-1
aggressively	negative	-1
aggressiveness	negative	-1
aggressor	positive	-0.5
aggrieve	negative	-1
aggrieved	positive	-0.5
aggrivation	negative	-1
aghast	negative	-1
agile	positive	0.75
agilely	positive	0.8
agility	positive	0.75
agitated	positive	-0.5
agitation	negative	-1
aglow	positive	0.8
agog	positive	-0.25
agonies	negative	-1
agonise	negative	-1
agonises	negative	-1
agonize	positive	-0.5
agonized	negative	-1
agonizes	negative	-1
agonizing	negative	-1
agonizingly	negative	-1
agony	positive	-0.5
agree	positive	0.5
agreeable	positive	0.75
agreeableness	positive	1
agreeably	positive	1
agreed	positive	0.5
agreeing	positive	1
agreement	positive	0.5
agrees	positive	0.5
aground	positive	-0.5
ahead	positive	0.8
aid	positive	1
aiding	positive	0.1
ail	positive	-0.5
ailing	positive	-0.5
ailment	negative	-1
aimless	positive	-0.5
alarm	positive	-0.75
alarmed	positive	-0.75
alarming	positive	-0.75
alarmingly	positive	-0.6
alarmist	positive	-0.6
alarmists	positive	-0.6
alas	positive	-0.4
alcoholism	negative	-1
alert	positive	-0.25
alertness	positive	0.6
alien	positive	-0.6
alienate	positive	-0.5
alienated	positive	-0.75
alienating	negative	-1
alienation	positive	-0.75
alimentation	positive	0.6
alimony	positive	-0.4
alive	positive	0.5
all around	positive	1
allay	positive	0.6
allegation	positive	-0.5
allegations	positive	-0.8
allege	positive	-0.5
alleges	positive	-0.6
allegiance	positive	0.5
allergic	positive	-0.5
allergies	positive	-0.5
allergy	negative	-1
alleviate	positive	1
alleviation	positive	1
allied	positive	1
allies	positive	0.25
allow	positive	0.25
allowable	positive	0.8
allure	positive	0.8
alluring	positive	0.5
alluringly	positive	0.8
ally	positive	0.8
almighty	positive	1
aloha	positive	0.4
alone	positive	-0.6
aloof	positive	-0.5
alter	positive	-0.25
altercation	positive	-0.75
altruistic	positive	1
altruistically	positive	1
amaze	positive	0.5
amazed	positive	0.5
amazement	positive	0.8
amazes	positive	0.5
amazing	positive	0.5
amazingly	positive	0.5
ambiguity	negative	-1
ambiguous	positive	-0.5
ambition	positive	0.6
ambitions	positive	-0.25
ambitious	positive	0.5
ambitiously	positive	0.8
ambivalence	positive	-0.25
ambivalent	positive	-0.5
ambrosia	positive	0.4
ambush	positive	-0.5
ameliorate	positive	0.5
amen	positive	0.6
amenable	positive	0.5
amend	positive	0.8
amends	positive	0.8
amenity	positive	0.25
amiability	positive	1
amiabily	positive	1
amiable	positive	0.5
amiably	positive	0.8
amicability	positive	1
amicable	positive	0.5
amicably	positive	1
amiss	negative	-1
amity	positive	-0.4
amnesia	positive	-0.6
amnesty	positive	1
amour	positive	0.8
amphetamines	positive	-0.4
ample	positive	1
amply	positive	1
amputate	negative	-1
amputated	negative	-1
amuse	positive	0.75
amused	positive	0.5
amusement	positive	0.5
amusements	positive	0.25
amusing	positive	0.5
amusingly	positive	0.8
anal	positive	-0.6
analyst	positive	0.25
analyze	positive	0.25
analyzing	positive	0.25
anaphylactic	positive	-0.8
anarchism	positive	-0.5
anarchist	positive	-0.5
anarchistic	positive	-0.8
anarchy	positive	-0.5
anathema	negative	-1
ancestor	positive	0.25
ancestors	positive	0.25
ancient	positive	0.25
anecdotes	positive	0.4
anemic	negative	-1
angel	positive	0.5
angelic	positive	0.75
anger	positive	-0.75
angers	negative	-1
angina	positive	-0.25
angling	positive	0.25
angrily	positive	-0.5
angriness	negative	-1
angry	positive	-0.75
angst	negative	-1
anguish	negative	-1
anguished	negative	-1
animalistic	positive	-0.8
animated	positive	0.4
animation	positive	0.25
animations	positive	0.4
animosity	positive	-0.75
animus	positive	-0.4
annihilate	positive	-0.5
annihilated	negative	-1
annihilation	positive	-0.5
annoy	positive	-0.75
annoyance	negative	-1
annoyances	negative	-1
annoyed	positive	-0.5
annoying	positive	-0.75
annoyingly	negative	-1
annoys	positive	-0.5
annul	positive	-0.25
annulment	positive	-0.25
anointed	positive	0.6
anomalous	positive	-0.25
anomaly	positive	-0.5
anonymity	positive	-0.25
antagonism	positive	-0.5
antagonist	positive	-0.75
antagonistic	positive	-0.75
antagonize	positive	-0.5
antediluvian	positive	-0.4
anthems	positive	0.4
anti	negative	-1
anti american	negative	-1
anti israeli	negative	-1
anti occupation	negative	-1
anti proliferation	negative	-1
anti semites	negative	-1
anti social	negative	-1
anti us	negative	-1
anti white	negative	-1
antibiotics	positive	0.4
antichrist	negative	-1
anticipating	positive	-0.25
anticipation	positive	0.25
antidote	positive	0.8
antipathy	positive	-0.5
antiquated	positive	-0.5
antique	positive	0.25
antiseptic	positive	0.4
antisocial	negative	-1
antithesis	positive	-0.6
antithetical	positive	-0.4
antsy	positive	-0.8
anxieties	negative	-1
anxiety	negative	-1
anxious	positive	-0.75
anxiously	negative	-1
anxiousness	negative	-1
apathetic	positive	-0.75
apathetically	positive	-0.6
apathy	negative	-1
apeshit	positive	-0.8
aplomb	positive	0.8
apocalypse	negative	-1
apocalyptic	positive	-0.5
apologetic	positive	0.6
apologist	positive	-0.4
apologists	positive	-0.4
apologize	positive	0.8
apologized	positive	0.8
apologizes	positive	0.8
apologizing	positive	0.8
apology	positive	0.6
apotheosis	positive	0.8
appal	negative	-1
appall	negative	-1
appalled	positive	-0.5
appalling	positive	-0.75
appallingly	negative	-1
appeal	positive	0.6
appealing	positive	0.5
appearing	positive	0.25
appease	positive	0.6
appeased	positive	0.6
appeases	positive	0.6
appeasing	positive	0.6
applaud	positive	0.5
applauded	positive	0.8
applauding	positive	0.8
applauds	positive	0.5
applause	positive	0.5
appraisal	positive	0.25
appreciable	positive	0.8
appreciate	positive	0.5
appreciated	positive	0.75
appreciates	positive	0.75
appreciating	positive	0.8
appreciation	positive	0.75
appreciative	positive	1
appreciatively	positive	1
apprehends	positive	-0.8
apprehension	positive	-0.75
apprehensions	negative	-1
apprehensive	positive	-0.75
apprehensively	negative	-1
approachable	positive	1
approbation	positive	0.6
appropriate	positive	1
appropriation	positive	-0.4
approval	positive	1
approve	positive	0.5
approved	positive	1
approves	positive	1
approving	positive	1
apropos	positive	0.6
apt	positive	0.5
aptitude	positive	0.4
arbitrary	positive	-0.5
arcade	positive	0.6
arcane	positive	-0.4
archaic	positive	-0.5
archival	positive	0.25
ardent	positive	0.75
ardently	positive	0.4
ardor	positive	0.75
arduous	positive	-0.5
arduously	negative	-1
arguably	positive	-0.4
argue	positive	-0.5
argument	positive	-0.8
argumentative	positive	-0.5
arid	positive	-0.25
aristocratic	positive	-0.25
arouse	positive	0.8
aroused	positive	0.8
arraignment	positive	-0.6
arrears	positive	-0.8
arrest	positive	-0.5
arrested	positive	-0.5
arresting	positive	-0.6
arrestingly	positive	-0.6
arrests	positive	-0.6
arrogance	positive	-0.5
arrogant	positive	-0.75
arrogantly	positive	-0.8
arsenic	negative	-1
arson	negative	-1
art	positive	0.6
articulate	positive	0.5
articulation	positive	0.25
artillery	positive	-0.6
artisan	positive	0.6
artisans	positive	0.6
artist	positive	0.6
artistic	positive	0.6
artwork	positive	0.6
ascendancy	positive	0.1
ascension	positive	0.5
ascent	positive	0.8
ash	positive	-0.4
ashamed	negative	-1
ashes	positive	-0.4
asinine	positive	-0.5
asininely	negative	-1
asinininity	negative	-1
askance	negative	-1
asperse	negative	-1
aspersion	negative	-1
aspersions	positive	-0.6
asphyxiated	negative	-1
aspiration	positive	0.5
aspirations	positive	0.8
aspire	positive	0.5
aspiring	positive	1
ass	positive	-0.5
assail	positive	-0.5
assailant	negative	-1
assassin	positive	-0.5
assassinate	positive	-0.5
assassination	positive	-0.5
assassinations	negative	-1
assassins	negative	-1
assault	positive	-0.75
assaulted	negative	-1
assclown	negative	-1
assembled	positive	0.25
assembly	positive	0.25
assent	positive	0.4
asses	positive	-0.6
asset	positive	0.5
assets	positive	0.5
assfucking	negative	-1
asshat	negative	-1
asshole	positive	-0.75
assholes	negative	-1
assist	positive	0.8
assistance	positive	0.8
assorted	positive	0.25
assuage	positive	1
assult	negative	-1
assurance	positive	0.5
assurances	positive	0.8
assure	positive	0.8
assured	positive	0.8
assuredly	positive	0.8
assures	positive	0.8
assuring	positive	0.8
astonish	positive	0.25
astonished	positive	0.5
astonishing	positive	0.5
astonishingly	positive	0.5
astonishment	positive	0.5
astound	positive	0.5
astounded	positive	0.5
astounding	positive	0.75
astoundingly	positive	0.5
astray	positive	-0.5
astringent	positive	-0.4
astronaut	positive	0.4
astute	positive	1
astutely	positive	1
asunder	positive	-0.6
asymmetrically	positive	-0.4
atheism	positive	-0.1
athlete	positive	0.6
athletic	positive	0.5
atone	positive	-0.25
atonement	positive	-0.25
atrocious	positive	-0.5
atrocities	positive	-0.5
atrocity	positive	-0.5
atrophy	positive	-0.5
attack	positive	-0.75
attacked	negative	-1
attacker	positive	-0.6
attacking	positive	-0.5
attacks	positive	-0.5
attain	positive	0.8
attainable	positive	0.8
attainment	positive	0.8
attendance	positive	0.4
attendant	positive	0.4
attendants	positive	0.4
attention	positive	0.25
attentive	positive	0.5
attenuated	positive	-0.25
attenuation	positive	-0.25
attorney	positive	-0.25
attract	positive	0.8
attracted	positive	0.8
attracting	positive	0.8
attraction	positive	1
attractions	positive	0.8
attractive	positive	0.5
attractively	positive	1
attractiveness	positive	1
attracts	positive	0.8
attune	positive	0.4
audacious	positive	-0.25
audaciously	positive	-0.25
audaciousness	positive	-0.25
audacity	positive	-0.5
audible	positive	0.1
audibly	positive	0.4
audiciously	negative	-1
augment	positive	0.4
aunt	positive	0.25
auspicious	positive	0.5
austere	positive	-0.5
austerity	positive	-0.6
authentic	positive	0.5
authenticity	positive	0.1
authoritarian	positive	-0.8
authoritative	positive	0.25
authority	positive	0.5
authorization	positive	0.4
authorized	positive	0.6
autocrat	negative	-1
autocratic	positive	-0.5
autonomous	positive	0.6
autopsy	positive	-0.6
available	positive	0.8
avalanche	positive	-0.5
avarice	positive	-0.5
avaricious	negative	-1
avariciously	negative	-1
avenge	positive	0.25
avenger	positive	0.25
avenging	positive	0.25
aver	positive	1
averse	positive	-0.5
aversion	positive	-0.5
avert	positive	-0.25
averted	positive	-0.5
averts	positive	-0.6
avid	positive	0.75
avidly	positive	0.8
avoid	positive	-0.5
avoidance	positive	-0.8
avoided	positive	-0.5
avoids	positive	-0.8
await	positive	-0.5
awaited	positive	-0.25
awaits	positive	-0.25
awaken	positive	0.8
awakened	positive	-0.25
award	positive	0.75
awarded	positive	0.5
awards	positive	0.5
awe	positive	1
awed	positive	0.4
aweful	negative	-1
awesome	positive	0.6
awesomely	positive	1
awesomeness	positive	1
awestruck	positive	0.6
awful	positive	-0.75
awfully	negative	-1
awfulness	negative	-1
awkward	positive	-0.5
awkwardness	positive	-0.75
awol	positive	-0.8
awry	negative	-1
awsome	positive	1
ax	negative	-1
axe	positive	-0.4
axed	positive	-0.6
axes	positive	-0.25
babble	positive	-0.5
babbling	positive	-0.5
baby	positive	0.6
bachelor	positive	0.6
back handed	positive	-0.5
back logged	negative	-1
back wood	negative	-1
back woods	negative	-1
backache	negative	-1
backaches	negative	-1
backaching	negative	-1
backbite	negative	-1
backbiting	negative	-1
backbone	positive	1
backed	positive	0.25
backpedaled	positive	-0.8
backsides	positive	-0.4
backward	positive	-0.5
backwardness	positive	-0.8
backwards	positive	-0.4
backwater	positive	-0.4
backwood	negative	-1
backwoods	negative	-1
bacteria	positive	-0.6
bacterium	positive	-0.6
bad	positive	-0.75
bad ass	positive	1
badass	positive	0.4
badger	positive	-0.5
badly	positive	-0.75
badness	negative	-1
baffle	positive	-0.6
baffled	positive	-0.6
bafflement	positive	-0.6
baffling	positive	-0.6
bailiff	positive	-0.4
bailing	positive	-0.4
bailout	positive	-0.25
bait	negative	-1
balance	positive	0.6
balanced	positive	0.5
balk	positive	-0.5
ballet	positive	0.6
ballooned	positive	-0.25
ballot	positive	0.25
bamboozle	positive	-0.25
bamboozled	positive	-0.25
bamboozles	positive	-0.25
ban	positive	-0.5
banal	negative	-1
banalize	negative	-1
bandage	positive	-0.25
bandit	positive	-0.8
bane	positive	-0.5
banish	positive	-0.75
banished	negative	-1
banishment	positive	-0.5
bankrupt	positive	-0.75
bankruptcy	negative	-1
bankrupted	negative	-1
banned	negative	-1
banquet	positive	0.6
banshee	positive	-0.25
barb	positive	-0.25
barbarian	positive	-0.5
barbaric	positive	-0.5
barbarically	negative	-1
barbarism	negative	-1
barbarity	negative	-1
barbarous	negative	-1
barbarously	negative	-1
bargain	positive	0.75
barred	positive	-0.5
barren	positive	-0.5
barricade	positive	-0.6
barrier	positive	-0.5
baseless	positive	-0.5
bash	positive	-0.6
bashed	positive	-0.5
bashful	positive	-0.25
bashing	positive	-0.5
basking	positive	0.8
bastard	negative	-1
bastards	positive	-0.75
bastion	positive	-0.25
bath	positive	0.4
battered	positive	-0.5
battering	positive	-0.4
battle	positive	-0.5
battled	positive	-0.6
battlefield	positive	-0.6
battles	positive	-0.6
battling	positive	-0.6
batty	negative	-1
bawdy	positive	-0.25
bawl	positive	-0.8
bayonet	positive	-0.6
bazaar	positive	-0.25
beachfront	positive	0.25
beaded	positive	-0.25
beamed	positive	0.8
beaming	positive	0.5
bearish	negative	-1
beast	positive	-0.5
beastly	positive	-0.5
beaten	negative	-1
beating	positive	-0.5
beauteous	positive	0.8
beauties	positive	0.25
beautification	positive	0.8
beautiful	positive	0.75
beautifullly	positive	1
beautifully	positive	1
beautify	positive	0.75
beauty	positive	0.5
beckon	positive	0.6
beckoned	positive	0.5
beckoning	positive	0.6
beckons	positive	0.6
bedlam	positive	-0.8
bedlamite	negative	-1
bedrooms	positive	0.25
beekeeper	positive	0.25
befitting	positive	0.4
befoul	negative	-1
befriend	positive	1
befuddled	positive	-0.6
beg	positive	-0.75
beggar	positive	-0.5
beggarly	negative	-1
begging	positive	-0.5
begrudgingly	negative	-1
beguile	negative	-1
behemoth	positive	-0.6
beholden	positive	-0.4
belabor	positive	-0.8
belated	positive	-0.5
beleaguer	positive	-0.6
belie	positive	-0.6
believable	positive	0.8
believeable	positive	1
believer	positive	0.6
believers	positive	0.8
believing	positive	0.8
belittle	positive	-0.75
belittled	positive	-0.5
belittling	negative	-1
bellicose	positive	-0.8
belligerence	negative	-1
belligerent	positive	-0.5
belligerently	negative	-1
beloved	positive	0.5
below average	negative	-1
bemoan	negative	-1
bemoaning	negative	-1
bemused	positive	-0.25
benefactor	positive	0.75
beneficent	positive	0.5
beneficial	positive	0.5
beneficially	positive	1
beneficiary	positive	0.6
benefit	positive	0.75
benefits	positive	1
benefitted	positive	1
benefitting	positive	1
benevolence	positive	0.5
benevolent	positive	0.5
benevolently	positive	1
benifits	positive	1
benign	positive	0.25
bent	positive	-0.4
berate	positive	-0.6
bereave	positive	-0.5
bereaved	positive	-0.5
bereavement	positive	-0.5
bereaves	negative	-1
bereaving	negative	-1
bereft	positive	-0.5
berserk	positive	-0.5
beseech	negative	-1
beset	positive	-0.6
besiege	positive	-0.8
besmirch	positive	-0.8
best	positive	0.5
best known	positive	1
best performing	positive	1
best selling	positive	1
bestial	positive	-0.5
bestknown	positive	0.6
bestowed	positive	0.8
bestseller	positive	0.8
bestsellers	positive	0.8
bestselling	positive	0.8
betray	positive	-0.75
betrayal	positive	-0.75
betrayals	negative	-1
betrayed	negative	-1
betrayer	negative	-1
betraying	positive	-0.5
betrays	positive	-0.5
betrothed	positive	0.25
better	positive	0.8
better known	positive	1
better than expected	positive	1
bettered	positive	1
betterknown	positive	0.6
betterment	positive	1
beutifully	positive	1
bewail	negative	-1
beware	positive	-0.5
bewilder	positive	-0.6
bewildered	positive	-0.5
bewildering	positive	-0.6
bewilderingly	positive	-0.6
bewilderment	positive	-0.5
bewitch	negative	-1
bias	positive	-0.75
biased	negative	-1
biases	negative	-1
bicker	positive	-0.8
bickering	positive	-0.5
bid rigging	negative	-1
biding	positive	-0.25
big	positive	0.25
bigot	negative	-1
bigoted	negative	-1
bigotries	negative	-1
bigotry	negative	-1
bile	positive	-0.5
bilingual	positive	0.4
binge	negative	-1
biopsy	positive	-0.6
birth	positive	0.6
birthday	positive	0.8
birthed	positive	0.6
bit like	negative	0
bitch	negative	-1
bitches	positive	-0.5
bitchy	positive	-0.5
bite	positive	-0.6
biting	negative	-1
bitingly	negative	-1
bitter	positive	-0.5
bitterly	negative	-1
bitterness	positive	-0.75
bizarre	positive	-0.75
blab	positive	-0.8
blabber	positive	-0.8
black	positive	-0.25
blackened	positive	-0.6
blackmail	positive	-0.5
blackness	positive	-0.25
blackout	positive	-0.25
blah	positive	-0.5
blame	positive	-0.75
blamed	positive	-0.5
blameful	negative	-1
blameless	positive	0.5
blames	negative	-1
blameworthy	negative	-1
blaming	negative	-1
blanch	positive	-0.25
bland	positive	-0.5
blandish	negative	-1
blankly	positive	-0.4
blare	positive	-0.6
blaspheme	positive	-0.5
blasphemer	negative	-1
blasphemous	positive	-0.5
blasphemy	positive	-0.5
blast	positive	-0.4
blasted	positive	-0.4
blasts	positive	-0.4
blatant	positive	-0.5
blatantly	positive	-0.25
blather	positive	-0.5
blaze	positive	-0.25
blazing	positive	-0.25
bleak	positive	-0.5
bleakly	negative	-1
bleakness	negative	-1
bled	negative	-1
bleed	positive	-0.5
bleeding	positive	-0.5
bleeds	positive	-0.5
blemish	positive	-0.5
bless	positive	1
blessed	positive	1
blesses	positive	0.8
blessing	positive	0.75
blessings	positive	0.5
blight	negative	-1
blighted	negative	-1
blind	positive	-0.75
blinded	negative	-1
blindfolded	positive	-0.6
blinding	positive	-0.8
blindingly	positive	-0.8
blindly	negative	-1
blindness	positive	-0.8
blindside	positive	-0.6
bliss	positive	0.75
blissful	positive	0.75
blissfully	positive	1
blister	positive	-0.5
blistering	positive	-0.5
blithe	positive	0.5
bloat	positive	-0.6
bloated	positive	-0.75
blob	positive	-0.25
block	positive	-0.4
blockade	positive	-0.6
blockage	positive	-0.6
blockbuster	positive	0.5
blocked	positive	-0.4
blockhead	positive	-0.8
blocking	positive	-0.5
blocks	positive	-0.6
bloodless	positive	-0.4
bloodshed	positive	-0.75
bloodshot	positive	-0.8
bloodthirsty	positive	-0.5
bloody	positive	-0.75
bloom	positive	1
bloomed	positive	0.8
blossom	positive	0.5
blossoming	positive	0.8
blot	positive	-0.25
blotchy	negative	-1
blow	positive	-0.4
blow smoke	positive	-0.5
blowhards	positive	-0.8
blowing smoke	positive	-0.5
blowout	positive	-0.6
blubbery	positive	-0.6
bluff	positive	-0.4
blunder	positive	-0.5
blundering	negative	-1
blunders	negative	-1
blunt	positive	-0.5
bluntness	negative	-1
blur	positive	-0.5
bluring	negative	-1
blurred	positive	-0.5
blurring	positive	-0.4
blurry	positive	-0.5
blurs	positive	-0.5
blurt	positive	-0.4
blurting	positive	-0.4
blush	positive	0.6
boastful	positive	-0.5
bodyguard	positive	-0.25
bog	positive	-0.5
boggle	negative	-1
bogus	positive	-0.75
bohemian	positive	0.6
boil	negative	-1
boilerplate	positive	-0.25
boiling	negative	-1
boisterous	negative	-1
bold	positive	0.25
boldly	positive	0.25
boldness	positive	0.6
bolster	positive	0.25
bomb	positive	-0.75
bombard	positive	-0.5
bombardiers	positive	-0.4
bombardment	positive	-0.5
bombastic	positive	-0.6
bombed	negative	-1
bombers	positive	-0.6
bombing	negative	-1
bonanza	positive	0.8
bondage	positive	-0.5
bonkers	positive	-0.4
bonny	positive	1
bonus	positive	0.5
bonuses	positive	0.8
boob	positive	-0.25
booby	positive	-0.5
bookish	positive	0.6
boom	positive	-0.4
booming	positive	-0.25
boon	positive	0.6
boost	positive	0.5
boosted	positive	0.25
boosting	positive	0.25
boosts	positive	0.25
booze	positive	-0.25
bore	positive	-0.75
bored	positive	-0.5
boredom	positive	-0.5
bores	negative	-1
boring	negative	-1
borrower	positive	-0.25
bossed	positive	-0.6
bossy	negative	-1
botch	negative	-1
botched	negative	-1
botching	negative	-1
bother	positive	-0.75
bothered	positive	-0.5
bothering	positive	-0.75
bothers	positive	-0.5
bothersome	positive	-0.5
botox	positive	-0.4
bottomless	positive	-0.25
bound	positive	-0.25
boundless	positive	0.4
bountiful	positive	0.5
bounty	positive	0.5
bouquet	positive	0.8
bout	positive	-0.6
bouts	positive	-0.6
bowdlerize	negative	-1
bowed	positive	-0.25
bowels	positive	-0.4
boy	positive	0.25
boycott	positive	-0.75
boycotted	positive	-0.8
boycotting	positive	-0.8
boycotts	positive	-0.8
boyish	positive	0.6
bracing	positive	-0.25
brackish	positive	-0.25
brag	positive	-0.25
braggart	positive	-0.8
bragger	positive	-0.8
brainiest	positive	0.6
brainless	positive	-0.5
brains	positive	0.6
brainstorms	positive	0.6
brainwash	negative	-1
brainwashing	negative	-1
brainy	positive	0.4
brand new	positive	1
brandishing	positive	-0.6
brash	positive	-0.5
brashly	negative	-1
brashness	negative	-1
brat	negative	-1
bratty	negative	-1
bravado	positive	-0.5
brave	positive	0.5
bravely	positive	1
bravery	positive	0.5
bravo	positive	1
brawl	positive	-0.5
brazen	positive	-0.5
brazenly	positive	-0.25
brazenness	positive	-0.25
breach	positive	-0.75
break	positive	-0.25
break a leg	positive	0.5
break up	negative	-1
break ups	negative	-1
breakdown	positive	-0.75
breakfast	positive	0.6
breaking	positive	-0.6
breakneck	positive	-0.25
breaks	positive	-0.4
breakthrough	positive	0.5
breakthroughs	positive	0.8
