term	valence	frequency
pleased	positive	667
posing	negative	323
possessive	negative	23
powerful	positive	7213
powerless	negative	461
powerless	negative	461
pressured	negative	53
pressured	negative	53
pretty	positive	4232
pride	positive	24
privileged	positive	47
proud	positive	66
provoked	negative	371
punished	negative	476
pushy	negative	91
put-upon	positive	6
puzzled	negative	201
quaking	negative	28
questioning	positive	620
quiescent	positive	116
rage	negative	51
rapturous	positive	88
rated	positive	321
reassured	positive	187
redeemed	positive	147
regret	negative	471
regretful	negative	63
rejected	negative	1806
relaxed	positive	462
released	positive	2767
relieved	positive	826
remorse	negative	50
replaced	positive	3857
repulsion	negative	62
resentful	negative	262
resolute	positive	176
respect	positive	587
respected	positive	376
responsible	positive	9429
responsive	positive	630
restful	positive	124
restless	negative	9
restrained	negative	221
restraint	positive	9
revered	positive	63
rewarded	positive	710
ridiculous	negative	43
right	positive	72
rigor	positive	8
routine	negative	1878
rueful	negative	142
sad	negative	3439
sadness	negative	12
safe	positive	29
satisfied	positive	1445
saucy	positive	98
scared	negative	145
sceptical	negative	765
scornful	negative	136
secure	positive	2253
secure	positive	2253
self-confident	positive	94
self-doubt	negative	28
self-reliant	positive	53
self-satisfied	positive	73
serene	positive	222
servility	negative	25
shaky	negative	468
shame	negative	83
sharp	positive	454
shocked	negative	419
shocked	negative	419
shy	negative	70
sick	negative	274
significant	positive	12073
silly	negative	2828
simplicity	positive	30
sincerity	positive	302
skeptical	negative	12
sleepy	negative	442
slumber	negative	7
smart	positive	395
smothered	negative	62
sneaky	negative	7
snoopy	negative	39
snubbed	negative	32
solemn	positive	474
sorrow	negative	30
sorrowful	negative	60
sparkling	positive	224
spirited	positive	40
spiritless	negative	8
spiteful	negative	133
sprightly	positive	10
squelched	negative	23
stability	positive	44
startled	negative	246
stereotyped	negative	30
stifled	negative	72
stifled	negative	72
stingy	negative	35
strange	negative	257
stressed	negative	741
strong	positive	226
stubborn	negative	424
stunned	negative	307
stupid	negative	71
successful	positive	10803
suffering	negative	2663
suicidal	negative	12
sulky	positive	101
sullen	negative	244
sunny	positive	996
superior	positive	114
supported	positive	3590
sure	positive	77
surprised	negative	287
suspicious	negative	1375
sympathetic	positive	94
sympathetic	positive	94
sympathy	positive	25
talkative	negative	105
tempted	negative	895
tenacious	positive	116
tender	positive	179
tense	negative	51
tension	negative	86
tentative	negative	577
terrible	negative	52
terrific	positive	30
terrified	negative	384
terror	negative	8
thankful	positive	388
threatened	negative	1349
thwarted	negative	171
timid	negative	300
timorous	negative	29
tired	negative	56
tolerant	positive	402
torn	negative	995
tortured	negative	209
tragic	negative	22
tranquil	positive	305
tranquillity	positive	9
transported	positive	452
trapped	negative	708
trembling	negative	626
tremulous	positive	77
tricked	negative	118
tricked	negative	118
troubled	negative	349
trusted	positive	415
ugly	negative	1365
unappreciated	positive	33
unaware	negative	1172
unbelieving	negative	43
uncertain	negative	2007
uncomfortable	negative	6
unconcerned	negative	172
undecided	negative	206
underestimated	positive	226
understood	positive	2791
undeserving	negative	12
undesirable	negative	622
uneasy	negative	978
unfair	negative	1933
unfocussed	negative	8
unfulfilled	negative	118
unhappy	negative	11
unified	positive	89
unlovable	negative	20
unloved	negative	74
unmatched	positive	75
unmotivated	negative	18
unsettled	negative	54
unshackled	negative	15
unstable	negative	704
unsupported	negative	113
unsupported	negative	113
unsure	negative	627
unwanted	negative	810
unworthy	negative	168
upset	negative	980
uptight	negative	95
used	negative	32968
useless	negative	13
validated	positive	153
valued	positive	591
vehement	negative	108
victimized	negative	24
vigilance	negative	16
vile	negative	274
vindicated	positive	134
violated	negative	174
violent	negative	10
virulent	negative	126
vitriolic	negative	73
vivacious	positive	90
vulnerable	negative	2447
wavering	negative	61
weak	negative	3571
weary	negative	708
welcomed	positive	1116
whimsical	negative	86
wicked	negative	1096
woebegone	negative	21
woeful	negative	34
wonderful	positive	4884
worried	negative	478
worried	negative	478
worshipped	positive	89
worthless	negative	356
worthy	positive	21
wrathful	negative	12
wronged	negative	33
yearning	positive	44
yearning	positive	44
yellow	negative	54
zealous	positive	115
